"player","player_alt","similarity"
"Tomi Leppanen","Tom Leppa",0.103
"Tom Leppa","Tomi Leppanen",0.103
"Jack Poehling","Nick Poehling",0.103
"Nick Poehling","Jack Poehling",0.103
"Tyce Thompson","Tage Thompson",0.103
"Philip Ekberg","Philip Nyberg",0.103
"Georgi Ivanov","Sergei Ivanov",0.103
"Kody McDonald","Kyle McDonald",0.103
"Georgi Ivanov","Sergei Ivanov",0.103
"Kyle McDonald","Kody McDonald",0.103
"Maxim Musorov","Maxim Mayorov",0.103
"Maxim Mayorov","Maxim Musorov",0.103
"Alexander Dergachyov","Alexander Dersch",0.104
"William Whitelaw","William Wia",0.104
"William Wia","William Whitelaw",0.104
"Alexander Dersch","Alexander Dergachyov",0.104
"Tyler Boucher","Tyler Busch",0.107
"Hugo Gabrielsson","Hugo Danielsson",0.107
"Hugo Gabrielsson","Hugo Danielsson",0.107
"Brandon Coe","Brandon Carlo",0.107
"Alexander Gordin","Alexandre Fortin",0.107
"Alexander Pashin","Alexander Oskin",0.107
"Henrik Tikkanen","Henri Nikkanen",0.107
"Matthew Boldy","Matthew Roy",0.107
"Henri Nikkanen","Henrik Tikkanen",0.107
"Gabriel Fortier","Gabriel Fontaine",0.107
"Gabriel Fortier","Gabriel Fontaine",0.107
"Simon Johansson","Wilson Johansson",0.107
"Filip Westerlund","Emil Westerlund",0.107
"Olle Eriksson-Ek","Joel Eriksson-Ek",0.107
"Mitchell Mattson","Mitchell Martin",0.107
"Gabriel Fontaine","Gabriel Fortier",0.107
"Joel Eriksson-Ek","Olle Eriksson-Ek",0.107
"Brandon Carlo","Brandon Coe",0.107
"Matthew Roy","Matthew Boldy",0.107
"Nikita Buruyanov","Nikita Kiryanov",0.107
"Nikita Buruyanov","Nikita Kiryanov",0.107
"Santeri Koskela","Valtteri Koskela",0.107
"Valtteri Koskela","Santeri Koskela",0.107
"Blake Swetlikoff","Alex Swetlikoff",0.107
"Matthew Copponi","Matthew Choupani",0.107
"Owen Millward","Owen Allard",0.107
"Nikita Kiryanov","Nikita Buruyanov",0.107
"Mitchell Martin","Mitchell Mattson",0.107
"Owen Allard","Owen Millward",0.107
"Matthew Choupani","Matthew Copponi",0.107
