"player","player_alt","similarity"
"Dmitri Yudin","Dmitri Kuzmin",0.132
"Patrick Guzzo","Patrick Guay",0.132
"Patrick Guzzo","Patrick Guay",0.132
"Carter Souch","Carter Schade",0.132
"Riley Piercey","Riley Mercer",0.132
"Yegor Guskov","Yegor Suchkov",0.132
"Yegor Guskov","Yegor Suchkov",0.132
"Yegor Guskov","Yegor Suchkov",0.132
"Oskari Luoto","Oskari Vuorio",0.132
"Michal Simon","Michal Stinil",0.132
"Ryan McGuire","Ryan McGregor",0.132
"Yegor Suchkov","Yegor Guskov",0.132
"Yegor Suchkov","Yegor Guskov",0.132
"Yegor Suchkov","Yegor Guskov",0.132
"Yegor Suchkov","Yegor Guskov",0.132
"Connor Bedard","Connor Dewar",0.132
"Matthew Wood","Matthew Boldy",0.132
"Michael Burchill","Michal Furch",0.132
"Samuel Honzek","Samuel Houde",0.132
"Vojtech Port","Vojtech Polak",0.132
"Jackson Keane","Jackson Kunz",0.132
"Ethan Spaxman","Ethan Samson",0.132
"Dominik Diem","Dominik Simon",0.132
"Cameron Hebig","Cameron Berg",0.132
"Cameron Hebig","Cameron Berg",0.132
"Cameron Hebig","Cameron Berg",0.132
"Cameron Hebig","Cameron Berg",0.132
"Ethan Spaxman","Ethan Samson",0.132
"Marcus Siren","Marcus Nygren",0.132
"Tyler Nother","Tyler Boucher",0.132
"Michal Furch","Michael Burchill",0.132
"Samuel Bucek","Samuel Bolduc",0.132
"Michal Stinil","Michal Simon",0.132
"Dmitri Ovechkin","Dmitri Ovchinnikov",0.132
"Kirill Zotov","Kirill Volkov",0.132
"Kirill Popov","Kirill Volkov",0.132
"Hunter Holmes","Hunter Jones",0.132
"Ryan Stevens","Nolan Stevens",0.132
"Samuel Solem","Samuel Savoie",0.132
"Roman Badanin","Roman Basran",0.132
"Dominik Sojka","Dominik Bokk",0.132
"Roman Basran","Roman Badanin",0.132
"Marcus Nygren","Marcus Siren",0.132
"Patrick Guay","Patrick Kudla",0.132
"Patrick Guay","Patrick Guzzo",0.132
"Jack Brandt","Jack Bar",0.133
"Tomas Cibulka","Tomas Chlubna",0.133
"Keaton Dowhaniuk","Logan Dowhaniuk",0.133
"Keaton Dowhaniuk","Logan Dowhaniuk",0.133
"Alexander Fesenko","Alexander Pavlenko",0.133
"Petr Gajda","Petr Cajka",0.133
"Daniil Ivanov","Danil Savunov",0.133
"Christian Kyrou","Christian Jaros",0.133
"Christian Kyrou","Christian Propp",0.133
"Christian Kyrou","Christian Propp",0.133
"Maxim Muranov","Maxim Musorov",0.133
"Alexander Pelevin","Alexander Belyayev",0.133
"Lukas Plos","Lukas Klok",0.133
"Alexander Smolin","Alexandre Alain",0.133
"Rasmus Vuorinen","Rasmus Korhonen",0.133
"Matthew Beniers","Matthew Spencer",0.133
"Josh Bloom","Josh Brook",0.133
"Rasmus Korhonen","Rasmus Vuorinen",0.133
"Jack Bar","Jack Brandt",0.133
"Simon Knak","Simon Mack",0.133
"Alexander Holtz","Alexandre Goulet",0.133
"Jack Quinn","Jack Flinn",0.133
"Jan Bednar","Jan Becvar",0.133
"Alexander Pashin","Alexandre Alain",0.133
"Alexander Daryin","Alexandre Alain",0.133
"Dominic Basse","Dominic James",0.133
"Danil Savunov","Daniil Ivanov",0.133
"Kevin Wall","Kevin Bahl",0.133
"Alexander Alexeyev","Alexander Zhebelev",0.133
"Kevin Bahl","Kevin Wall",0.133
"David Tendeck","David Turecek",0.133
"Josh Brook","Josh Bloom",0.133
"David Noel","David Kope",0.133
"Gabriel Carlsson","Gabriel Klassen",0.133
"Gabriel Carlsson","Gabriel Klassen",0.133
"Matthew Spencer","Matthew Beniers",0.133
"David Kase","David Kope",0.133
"Christian Jaros","Christian Kyrou",0.133
"Christian Jaros","Christian Evers",0.133
"Christian Jaros","Christian Propp",0.133
"Christian Jaros","Christian Propp",0.133
"Adam Huska","Adam Liska",0.133
"Adam Marsh","Adam Bares",0.133
"Simon Knak","Simon Mack",0.133
"Tomas Chlubna","Tomas Cibulka",0.133
"Gabriel Klassen","Gabriel Carlsson",0.133
"Yegor Chernikov","Yegor Chizhikov",0.133
"Logan Dowhaniuk","Keaton Dowhaniuk",0.133
"Alexander Palchik","Alexander Pavlenko",0.133
"Gabriel Klassen","Gabriel Carlsson",0.133
"Adam Bares","Adam Marsh",0.133
"Alexandre Alain","Alexander Smolin",0.133
"Alexandre Alain","Alexander Pashin",0.133
"Alexandre Alain","Alexander Daryin",0.133
"Alexandre Goulet","Alexander Holtz",0.133
"Simon Andersson","Linus Andersson",0.133
"Logan Dowhaniuk","Keaton Dowhaniuk",0.133
"Nikolai Smirnov","Nikolai Burenov",0.133
"Nils Nordh","Noel Nordh",0.133
"Ondrej Molnar","Ondrej Volrab",0.133
"Noel Nordh","Nils Nordh",0.133
"Christian Evers","Christian Jaros",0.133
"Lukas Klok","Lukas Plos",0.133
"Lukas Klok","Lukas Pilo",0.133
"Alexander Zhebelev","Alexander Alexeyev",0.133
"Jack Flinn","Jack Quinn",0.133
"Jan Bednar","Jan Becvar",0.133
"Jan Becvar","Jan Bednar",0.133
"Jan Becvar","Jan Bednar",0.133
"Linus Andersson","Simon Andersson",0.133
"Christian Propp","Christian Kyrou",0.133
"Christian Propp","Christian Jaros",0.133
"Alexander Pavlenko","Alexander Fesenko",0.133
"Alexander Pavlenko","Alexander Palchik",0.133
"Alexander Belyayev","Alexander Pelevin",0.133
"Adam Liska","Adam Huska",0.133
"Christian Propp","Christian Kyrou",0.133
"Christian Propp","Christian Jaros",0.133
"Petr Cajka","Petr Gajda",0.133
"David Kope","David Noel",0.133
"David Kope","David Kase",0.133
"Simon Mack","Simon Knak",0.133
"Simon Mack","Simon Knak",0.133
"Nikolai Burenov","Nikolai Smirnov",0.133
"Ondrej Volrab","Ondrej Molnar",0.133
"David Turecek","David Tendeck",0.133
"Lukas Pilo","Lukas Klok",0.133
"Yegor Chizhikov","Yegor Chernikov",0.133
"Maxim Musorov","Maxim Muranov",0.133
"Dominic James","Dominic Basse",0.133
"Matthew Beniers","Matthew Knies",0.134
"Matthew Knies","Matthew Beniers",0.134
"Sebastian Walfridsson","Sebastian Ohlsson",0.134
"Sebastian Ohlsson","Sebastian Walfridsson",0.134
"James Swan","James Sanchez",0.136
"Vladimir Sychyov","Vladimir Tkachyov",0.136
"Jacob Pivonka","Jacob Dion",0.136
"Ryan Poehling","Ryan Lohin",0.136
"Ryan Lohin","Ryan Poehling",0.136
"David Kase","David Tomasek",0.136
"David Kase","David Tomasek",0.136
"Adam Marsh","Adam Karashik",0.136
"Vladimir Sychyov","Vladimir Tkachyov",0.136
"Jacob Dion","Jacob Pivonka",0.136
"Alexander Komarov","Alexander Sharov",0.136
"Evan Werner","Evan Weinger",0.136
"Aleksandr Legkov","Aleksander Agapov",0.136
"Vladimir Tkachyov","Vladimir Sychyov",0.136
"Vladimir Tkachyov","Vladimir Sychyov",0.136
"Aleksander Agapov","Aleksandr Legkov",0.136
"Alexander Sharov","Alexander Komarov",0.136
"Evan Weinger","Evan Werner",0.136
"James Sanchez","James Swan",0.136
"Adam Karashik","Adam Marsh",0.136
"David Tomasek","David Kase",0.136
"David Tomasek","David Kase",0.136
"Alexander Blank","Alexander Belyayev",0.137
"John-Jason Peterka","Jonas Peterek",0.137
"Benjamin Hawerchuk","Benjamin Beck",0.137
"Dominik Valik","Dominik Volejnicek",0.137
"Dominik Volejnicek","Dominik Valik",0.137
"Benjamin Beck","Benjamin Hawerchuk",0.137
"Alexander Belyayev","Alexander Blank",0.137
"Jonas Peterek","John-Jason Peterka",0.137
"Kirill Dolzhenkov","Kirill Kozhevnikov",0.139
"Alexander Romanov","Alexander Khovanov",0.139
"Alexander Khovanov","Alexander Romanov",0.139
"Kirill Kozhevnikov","Kirill Dolzhenkov",0.139
"Jonathan Lekkerimaki","Jonathan Leman",0.14
"Jonathan Lekkerimaki","Jonathan Leman",0.14
"Maxim Barbashev","Maxim Groshev",0.14
"Hugo Fransson","Hugo Danielsson",0.14
"Hugo Fransson","Hugo Danielsson",0.14
"Patrik Juhola","Patrik Puistola",0.14
"Jesperi Kaukonen","Jesperi Kotkaniemi",0.14
"Vojtech Polak","Vojtech Zelenak",0.14
"Jeremiah Slavin","Josiah Slavin",0.14
"Sebastian Cossa","Sebastian Aho",0.14
"Sebastian Cossa","Sebastian Aho",0.14
"Sebastian Cossa","Sebastian Aho",0.14
"Logan Stankoven","Logan Stanley",0.14
"Kirill Kirsanov","Kirill Tankov",0.14
"Kirill Kirsanov","Kirill Tankov",0.14
"Artyom Guryev","Artyom Murylyov",0.14
"Evgeni Kashnikov","Evgeni Kalabushkin",0.14
"Kirill Tankov","Kirill Kirsanov",0.14
"Maxim Groshev","Maxim Barbashev",0.14
"Elliot Ekefjard","Elliot Ekmark",0.14
"Elliot Ekmark","Elliot Ekefjard",0.14
"Patrik Puistola","Patrik Juhola",0.14
"William Francis","William Ennis",0.14
"Jesperi Kotkaniemi","Jesperi Kaukonen",0.14
"Brandon Saigeon","Brandon Hagel",0.14
"Josiah Slavin","Jeremiah Slavin",0.14
"Alexander Volkov","Alexander Pavlenko",0.14
"Sebastian Aho","Sebastian Cossa",0.14
"Logan Stanley","Logan Stankoven",0.14
"Brandon Hagel","Brandon Saigeon",0.14
"Brandon Hagel","Brandon Saigeon",0.14
"Sebastian Aho","Sebastian Cossa",0.14
"Hunter McKown","Hunter McDonald",0.14
"Hunter McKown","Hunter McDonald",0.14
"Ilya Ivantsov","Ilya Ignatov",0.14
"Artyom Kolganov","Artyom Volkov",0.14
"Matthew Maltais","Matthew Davis",0.14
"William Proos","William Pethrus",0.14
"Ilya Ignatov","Ilya Ivantsov",0.14
"Nikita Shavin","Nikita Shashkov",0.14
"Artyom Murylyov","Artyom Guryev",0.14
"Kirill Tankov","Kirill Kirsanov",0.14
"Artyom Volkov","Artyom Kolganov",0.14
"Alexander Volkov","Alexander Pavlenko",0.14
"Jonathan Leman","Jonathan Lekkerimaki",0.14
"Christian Heljanko","Christian Felton",0.14
"Brandon Saigeon","Brandon Hagel",0.14
"Sebastian Aho","Sebastian Cossa",0.14
"Hugo Danielsson","Hugo Fransson",0.14
"Jonathan Leman","Jonathan Lekkerimaki",0.14
"William Pethrus","William Proos",0.14
"Vojtech Zelenak","Vojtech Polak",0.14
"Hugo Danielsson","Hugo Fransson",0.14
"Alexander Pavlenko","Alexander Volkov",0.14
"Alexander Pavlenko","Alexander Volkov",0.14
"Christian Felton","Christian Heljanko",0.14
"William Ennis","William Francis",0.14
"Evgeni Kalabushkin","Evgeni Kashnikov",0.14
"Dominik Sklenar","Dominik Sojka",0.14
"Dominik Sojka","Dominik Sklenar",0.14
"Matthew Davis","Matthew Maltais",0.14
"Nikita Shashkov","Nikita Shavin",0.14
"Hunter McDonald","Hunter McKown",0.14
"Hunter McDonald","Hunter McKown",0.14
"Luke Mittelstadt","Casey Mittelstadt",0.141
"Alexander Pelevin","Alexander Smolin",0.141
"Alexander Pelevin","Alexander Pashin",0.141
"Alexander Pelevin","Alexander Petunin",0.141
"Alexander Pelevin","Alexander Polunin",0.141
"Vladislav Romanov","Vladislav Kotkov",0.141
"Vladislav Romanov","Vladislav Syomin",0.141
"Alexander Smolin","Alexander Pelevin",0.141
"Connor Toms","Connor Trenholm",0.141
"Connor Toms","Connor Trenholm",0.141
"Yaroslav Yapparov","Yaroslav Askarov",0.141
"Ivan Zhigalov","Ivan Zivlak",0.141
"Tyler Boucher","Tyrel Bauer",0.141
"Alexander Kisakov","Alexander Komarov",0.141
"Alexander Kisakov","Alexander Sharov",0.141
"Jakub Malek","Jakub Melisko",0.141
"Yaroslav Askarov","Yaroslav Yapparov",0.141
"Brandon Coe","Brandon Crawley",0.141
"Brandon Coe","Brandon Crawley",0.141
"Brandon Coe","Brandon Crawley",0.141
"Tyrel Bauer","Tyler Boucher",0.141
"Alexander Pashin","Alexander Pelevin",0.141
"Andrei Svechnikov","Andrei Svetlakov",0.141
"Andrei Svechnikov","Andrei Svetlakov",0.141
"Alexander Romanov","Alexander Volkov",0.141
"Alexander Romanov","Alexander Volkov",0.141
"Austin Wong","Austin Wagner",0.141
"Casey Mittelstadt","Luke Mittelstadt",0.141
"Casey Mittelstadt","Luke Mittelstadt",0.141
"Alexander Volkov","Alexander Romanov",0.141
"Alexander Volkov","Alexander Komarov",0.141
"Alexander Volkov","Alexander Popovic",0.141
"Brandon Crawley","Brandon Coe",0.141
"Andrei Svetlakov","Andrei Svechnikov",0.141
"Logan Stanley","Logan Stein",0.141
"Evan Fitzpatrick","Lucas Fitzpatrick",0.141
"Christian Fischer","Christian Miller",0.141
"Matthew Spencer","Matthew Sop",0.141
"Austin Wagner","Austin Wong",0.141
"Matthew Roy","Matthew Grouchy",0.141
"Vladislav Kotkov","Vladislav Romanov",0.141
"Alexander Komarov","Alexander Kisakov",0.141
"Alexander Komarov","Alexander Volkov",0.141
"Alexander Komarov","Alexander Volkov",0.141
"Luke Mittelstadt","Casey Mittelstadt",0.141
"Connor Trenholm","Connor Toms",0.141
"Matthew Sop","Matthew Spencer",0.141
"Matthew Sop","Matthew Copponi",0.141
"Matthew Copponi","Matthew Sop",0.141
"Connor Trenholm","Connor Toms",0.141
"Ivan Zivlak","Ivan Zhigalov",0.141
"Zachary Roy","Zachary Roberts",0.141
"Cameron Lizotte","Cameron Lee",0.141
"Brandon Crawley","Brandon Coe",0.141
"Alexander Volkov","Alexander Romanov",0.141
"Alexander Volkov","Alexander Komarov",0.141
"Alexander Volkov","Alexander Popovic",0.141
"Alexander Sharov","Alexander Kisakov",0.141
"Alexander Younan","Alexander Petunin",0.141
"Alexander Petunin","Alexander Pelevin",0.141
"Alexander Petunin","Alexander Younan",0.141
"Ondrej Vala","Ondrej Volrab",0.141
"Brandon Crawley","Brandon Coe",0.141
"Andrei Svetlakov","Andrei Svechnikov",0.141
"Alexander Polunin","Alexander Pelevin",0.141
"Jakub Melisko","Jakub Malek",0.141
"Jakub Melisko","Jakub Malek",0.141
"Zachary Roberts","Zachary Roy",0.141
"Cameron Lee","Cameron Lizotte",0.141
"William Wia","William Grimard",0.141
"Michal Ivan","Michal Kvasnica",0.141
"Matthew Grouchy","Matthew Roy",0.141
"Michal Kvasnica","Michal Ivan",0.141
"Vladislav Syomin","Vladislav Romanov",0.141
"Lucas Fitzpatrick","Evan Fitzpatrick",0.141
"Alexander Popovic","Alexander Volkov",0.141
"Alexander Popovic","Alexander Volkov",0.141
"Ondrej Volrab","Ondrej Vala",0.141
"Christian Miller","Christian Fischer",0.141
"William Grimard","William Wia",0.141
"Logan Stein","Logan Stanley",0.141
"Jakub Malek","Jakub Melisko",0.141
"Ben Bujold","Ben Boyd",0.142
"Michael Callow","Michael Campoli",0.142
"William Hughes","William Pethrus",0.142
"Gabriel Kangas","Gabriel Klassen",0.142
"Gabriel Kangas","Gabriel Klassen",0.142
"Matthew Kieper","Matthew Beniers",0.142
"Matthew Kieper","Matthew Spencer",0.142
"Roberto Mancini","Robert Kincaid",0.142
"Matthew Perkins","Matthew Cairns",0.142
"Matthew Beniers","Matthew Kieper",0.142
"Jack Peart","Jack Bar",0.142
"Jack Bar","Jack Peart",0.142
"Ben Boyd","Ben Bujold",0.142
"Dmitri Voronkov","Dmitri Sokolov",0.142
"Mikhail Abramov","Vitali Abramov",0.142
"Vladislav Yeryomenko","Vladislav Syomin",0.142
"Antoine Morand","Antoine Marcoux",0.142
"Matthew Hellickson","Matthew Dillon",0.142
"Jonathan Dahlen","Jonathan Leman",0.142
"Jonathan Dahlen","Jonathan Leman",0.142
"Vitali Abramov","Mikhail Abramov",0.142
"Matthew Cairns","Matthew Perkins",0.142
"Dmitri Sokolov","Dmitri Voronkov",0.142
"Dmitri Zaitsev","Dmitri Simashev",0.142
"Matthew Spencer","Matthew Kieper",0.142
"David Kase","David Ma",0.142
"David Kase","David Ma",0.142
"Vladislav Yeryomenko","Vladislav Syomin",0.142
"Dmitri Nazarov","Dmitri Varlamov",0.142
"David Ma","David Kase",0.142
"Nicolas Daigle","Nicholas DeAngelis",0.142
"Gabriel Klassen","Gabriel Kangas",0.142
"Roberto Mancini","Robert Kincaid",0.142
"Gabriel Klassen","Gabriel Kangas",0.142
"Nicholas DeAngelis","Nicolas Daigle",0.142
"Samuel Eriksson","Samuel Rossini",0.142
"David Ma","David Kase",0.142
"Robert Kincaid","Roberto Mancini",0.142
"Robert Kincaid","Roberto Mancini",0.142
"Dmitri Simashev","Dmitri Zaitsev",0.142
"Jordan Tourigny","Jordan Topping",0.142
"Antoine Marcoux","Antoine Morand",0.142
"Matthew Murphy","Matthew Grouchy",0.142
"Jonathan Leman","Jonathan Dahlen",0.142
"Alexander Yakovenko","Alexander Pavlenko",0.142
"Michael Campoli","Michael Callow",0.142
"Samuel Rossini","Samuel Eriksson",0.142
"Matthew Dillon","Matthew Hellickson",0.142
"Jonathan Leman","Jonathan Dahlen",0.142
"Dmitri Varlamov","Dmitri Nazarov",0.142
"William Pethrus","William Hughes",0.142
"Jordan Topping","Jordan Tourigny",0.142
"Alexander Pavlenko","Alexander Yakovenko",0.142
"Alexander Pavlenko","Alexander Yakovenko",0.142
"Matthew Grouchy","Matthew Murphy",0.142
"Vladislav Syomin","Vladislav Yeryomenko",0.142
"Vladislav Syomin","Vladislav Yeryomenko",0.142
"Alexander Yakovenko","Alexander Pavlenko",0.142
"Alexander Perevalov","Alexander Pelevin",0.143
"Matthew Savoie","Matthew Strome",0.143
"Matthew Kieper","Matthew Kessel",0.143
"Matthew Kieper","Matthew Miller",0.143
"Karel Krepelka","Karel Vejmelka",0.143
"Alexander Pelevin","Alexander Perevalov",0.143
"Cameron Whynot","Cameron Wright",0.143
"Jacob Melanson","Jacob Svensson",0.143
"Jacob Melanson","Jacob Svensson",0.143
"Gage Alexander","Jett Alexander",0.143
"Dylan Peterson","Dylan Ferguson",0.143
"Matthew Kessel","Matthew Kieper",0.143
"Dmitri Semykin","Dmitri Sheshin",0.143
"Miska Kukkonen","Miska Siikonen",0.143
"Lias Andersson","Noah Andersson",0.143
"Eemeli Rasanen","Aapeli Rasanen",0.143
"Matthew Strome","Matthew Savoie",0.143
"Dylan Ferguson","Dylan Peterson",0.143
"Matthew Filipe","Matthew Miller",0.143
"Joona Koppanen","Joona Korhonen",0.143
"Aapeli Rasanen","Eemeli Rasanen",0.143
"Dmitri Zaitsev","Daniil Zaitsev",0.143
"Karel Vejmelka","Karel Krepelka",0.143
"Joona Korhonen","Joona Koppanen",0.143
"Nicolas Daigle","Nicolas Savoie",0.143
"Kyle Chyzowski","Ryan Chyzowski",0.143
"Daniil Zaitsev","Dmitri Zaitsev",0.143
"Noah Andersson","Lias Andersson",0.143
"Mikhail Gulyayev","Mikhail Belyayev",0.143
"Michael Hrabal","Michael Graham",0.143
"Jonathan Leman","Jonathan Smart",0.143
"Michael Graham","Michael Hrabal",0.143
"Ondrej Kachyna","Ondrej Machala",0.143
"Matthew Dillon","Matthew Miller",0.143
"Mikhail Belyayev","Mikhail Gulyayev",0.143
"Jonathan Leman","Jonathan Smart",0.143
"Miska Siikonen","Miska Kukkonen",0.143
"Matthew Miller","Matthew Kieper",0.143
"Matthew Miller","Matthew Filipe",0.143
"Matthew Miller","Matthew Dillon",0.143
"Jonathan Smart","Jonathan Leman",0.143
"Jonathan Smart","Jonathan Leman",0.143
"Ondrej Machala","Ondrej Kachyna",0.143
"Jacob Svensson","Jacob Melanson",0.143
"Ryan Chyzowski","Kyle Chyzowski",0.143
"Cameron Wright","Cameron Whynot",0.143
"Jacob Svensson","Jacob Melanson",0.143
"Jett Alexander","Gage Alexander",0.143
"Dmitri Sheshin","Dmitri Semykin",0.143
"Nicolas Savoie","Nicolas Daigle",0.143
"Ryan Chesley","Ryan Healey",0.144
"Lane Hutson","Logan Hutsko",0.144
"Filip Mesar","Filip Lestan",0.144
"Tim Almgren","Tim Wahlgren",0.144
"Justin Cote","Justin Ertel",0.144
"Chase Coward","Chase Clark",0.144
"Noah Greuter","Noah Gregor",0.144
"Yegor Guskov","Yegor Rykov",0.144
"Yegor Guskov","Yegor Rykov",0.144
"Ryan Healey","Ryan Chesley",0.144
"Ryan Healey","Ryan Merkley",0.144
"Tomas Hebek","Tomas Hedera",0.144
"Braden Holt","Braden Doyle",0.144
"Cameron Lund","Cameron Lee",0.144
"Ilya Morozov","Ilya Mironov",0.144
"Ilya Morozov","Ilya Mironov",0.144
"Matej Pinkas","Matej Prcik",0.144
"Matej Pinkas","Matej Pekar",0.144
"Matej Prcik","Matej Pinkas",0.144
"David Spacek","David Sacco",0.144
"Connor Toms","Connor Hobbs",0.144
"Mathew Ward","Matthew Wood",0.144
"Mathew Ward","Matthew Ladd",0.144
"Nolan Allan","Nolan Volcan",0.144
"Carter Mazur","Carter Hart",0.144
"Justin Ertel","Justin Cote",0.144
"Jakub Malek","Jakub Adamek",0.144
"Cameron Berg","Cameron Lee",0.144
"Topias Vilen","Elias Vilen",0.144
"Ilya Safonov","Ilya Lobanov",0.144
"Chase Clark","Chase Coward",0.144
"Tomas Machu","Tomas Mazura",0.144
"Connor Zary","Connor Dewar",0.144
"Nick Capone","Nick Campoli",0.144
"Quinn Olson","Quinn Hutson",0.144
"Braden Doyle","Braden Holt",0.144
"Braden Doyle","Braden Holt",0.144
"Lukas Rousek","Lukas Jasek",0.144
"Tomas Mazura","Tomas Machu",0.144
"Martin Kaut","Martin Kupec",0.144
"Ryan Merkley","Ryan Healey",0.144
"Ryan McLeod","Ryan Leonard",0.144
"Ryan McLeod","Wyatt McLeod",0.144
"Logan Hutsko","Lane Hutson",0.144
"Connor Dewar","Connor Zary",0.144
"Riley Sutter","Riley Tufte",0.144
"Matej Pekar","Matej Pinkas",0.144
"Paul Cotter","Paul Bittner",0.144
"Samuel Houde","Samuel Dube",0.144
"David Hrenak","David Hajnik",0.144
"Riley Hughes","Ryan Hughes",0.144
"Maxim Zhukov","Maxim Sushko",0.144
"Maxim Zhukov","Maxim Bykov",0.144
"Jacob Bryson","Jacob Olson",0.144
"Maxim Sushko","Maxim Zhukov",0.144
"Nick Campoli","Nick Capone",0.144
"Jake McGrew","Jake McGrath",0.144
"Carson Meyer","Dario Meyer",0.144
"Daniel Bukac","Daniel Baker",0.144
"Riley Tufte","Riley Sutter",0.144
"Carter Hart","Carter Mazur",0.144
"Carter Hart","Carter Mazur",0.144
"Linus Nassen","Linus Nyman",0.144
"Linus Nassen","Linus Nyman",0.144
"Linus Nassen","Linus Nyman",0.144
"Noah Gregor","Noah Greuter",0.144
"Yegor Rykov","Yegor Guskov",0.144
"Yegor Rykov","Yegor Guskov",0.144
"Paul Bittner","Paul Cotter",0.144
"Nicolas Roy","Nicolas Guay",0.144
"Nicolas Roy","Nicolas Guay",0.144
"Connor Hobbs","Connor Toms",0.144
"Lukas Jasek","Lukas Rousek",0.144
"Matthew Roy","Matthew Wood",0.144
"Linus Nyman","Linus Nassen",0.144
"Linus Nyman","Linus Nassen",0.144
"Linus Nyman","Linus Nassen",0.144
"Alex Steeves","Ben Steeves",0.144
"Linus Nyman","Linus Nassen",0.144
"Linus Nyman","Linus Nassen",0.144
"Linus Nyman","Linus Nassen",0.144
"Oliver Suni","Oliver Turan",0.144
"Linus Nyman","Linus Nassen",0.144
"Linus Nyman","Linus Nassen",0.144
"Linus Nyman","Linus Nassen",0.144
"Cameron Rowe","Cameron Lee",0.144
"Ilya Mironov","Ilya Morozov",0.144
"Ilya Mironov","Ilya Morozov",0.144
"Cameron Berg","Cameron Lee",0.144
"Daniel Baker","Daniel Bukac",0.144
"Martin Bohm","Martin Bodak",0.144
"Martin Bohm","Martin Bucko",0.144
"Martin Bohm","Martin Bodak",0.144
"David Spacek","David Sacco",0.144
"Matthew Sop","Matthew Wood",0.144
"Quinn Hutson","Quinn Olson",0.144
"Ethan Peters","Ethan Leyer",0.144
"Charles-Antoine Pilote","Charles-Antoine Lavallee",0.144
"Elias Vilen","Topias Vilen",0.144
"Oliver Suni","Oliver Turan",0.144
"David Hajnik","David Hrenak",0.144
"David Hajnik","David Hrenak",0.144
"David Hajnik","David Hrenak",0.144
"Cameron Rowe","Cameron Lee",0.144
"Braden Holt","Braden Doyle",0.144
"Yegor Rykov","Yegor Guskov",0.144
"Yegor Rykov","Yegor Guskov",0.144
"Nicolas Guay","Nicolas Roy",0.144
"Maxim Bykov","Maxim Zhukov",0.144
"Carter Mazur","Carter Hart",0.144
"Samuel Dube","Samuel Houde",0.144
"Samuel Dube","Samuel Bucek",0.144
"Marek Blaha","Marek Zachar",0.144
"Charles-Antoine Lavallee","Charles-Antoine Pilote",0.144
"Ethan Leyer","Ethan Peters",0.144
"Yegor Guskov","Yegor Rykov",0.144
"Yegor Guskov","Yegor Rykov",0.144
"Michal Simon","Michal Roman",0.144
"Ben Steeves","Alex Steeves",0.144
"Ben Steeves","Alex Steeves",0.144
"Matthew Wood","Mathew Ward",0.144
"Matthew Wood","Matthew Roy",0.144
"Matthew Wood","Matthew Sop",0.144
"Ryan Leonard","Ryan McLeod",0.144
"Oliver Moore","Oliver True",0.144
"Jacob Olson","Jacob Bryson",0.144
"Dario Meyer","Carson Meyer",0.144
"Nolan Volcan","Nolan Allan",0.144
"Tim Wahlgren","Tim Almgren",0.144
"Ilya Lobanov","Ilya Safonov",0.144
"Filip Lestan","Filip Mesar",0.144
"Michal Roman","Michal Simon",0.144
"Michal Roman","Michal Ivan",0.144
"Marek Svarc","Marek Skvrne",0.144
"David Hrenak","David Hajnik",0.144
"Matthew Ladd","Mathew Ward",0.144
"Marek Zachar","Marek Blaha",0.144
"Samuel Bucek","Samuel Dube",0.144
"Ryan Hughes","Riley Hughes",0.144
"Ryan Hughes","Aidan Hughes",0.144
"Cameron Lee","Cameron Lund",0.144
"Cameron Lee","Cameron Berg",0.144
"Cameron Lee","Cameron Rowe",0.144
"Cameron Lee","Cameron Berg",0.144
"Cameron Lee","Cameron Rowe",0.144
"Cameron Lee","Cameron Rowe",0.144
"Tom Hedberg","Tomas Hedera",0.144
"Tomas Hedera","Tomas Hebek",0.144
"Tomas Hedera","Tom Hedberg",0.144
"Marek Skvrne","Marek Svarc",0.144
"Martin Bodak","Martin Bohm",0.144
"Martin Bodak","Martin Bucko",0.144
"Martin Kupec","Martin Kaut",0.144
"Jake McGrath","Jake McGrew",0.144
"David Hrenak","David Hajnik",0.144
"Aidan Hughes","Ryan Hughes",0.144
"Nicolas Guay","Nicolas Roy",0.144
"Michal Ivan","Michal Roman",0.144
"Wyatt McLeod","Ryan McLeod",0.144
"Martin Bucko","Martin Bohm",0.144
"Martin Bucko","Martin Bodak",0.144
"Martin Bucko","Martin Bodak",0.144
"Linus Nassen","Linus Nyman",0.144
"Linus Nassen","Linus Nyman",0.144
"Linus Nassen","Linus Nyman",0.144
"Jakub Adamek","Jakub Malek",0.144
"Jakub Adamek","Jakub Malek",0.144
"Oliver True","Oliver Moore",0.144
"Martin Bodak","Martin Bohm",0.144
"Martin Bodak","Martin Bucko",0.144
"Alex Steeves","Ben Steeves",0.144
"Oliver Turan","Oliver Suni",0.144
"Oliver Turan","Oliver Suni",0.144
"Linus Nassen","Linus Nyman",0.144
"Linus Nassen","Linus Nyman",0.144
"Linus Nassen","Linus Nyman",0.144
"David Sacco","David Spacek",0.144
"David Sacco","David Spacek",0.144
"Cameron Rowe","Cameron Lee",0.144
"Jakub Malek","Jakub Adamek",0.144
"Owen Beck","Owen Baker",0.145
"Owen Baker","Owen Beck",0.145
"Michael Buchinger","Michael Schnattinger",0.145
"Michael Schnattinger","Michael Buchinger",0.145
"Nikita Alexandrov","Nikita Sedov",0.145
"Adam Mascherin","Adam Marsh",0.145
"Adam Mascherin","Adam Mechura",0.145
"Sam Steel","Sam Sedley",0.145
