stan_id,player_id,player,last_name,first_name,draft_year,pos_broad,pos_spec,primary_league,primary_region,continent,nation_origin,nation_compete,prop_sr,height_z,age_split
276,2019_375630,Amir Miftakhov,Miftakhov,Amir,2019,G,G,VHL,Russia,Europe,RUS,RUS,0.9428571428571428,-1.178719216315075,Overage
277,2019_375827,Kyen Sopa,Sopa,Kyen,2019,F,W,OHL,Ontario,North America,EUR,CAN,0,-1.1272108239156733,Late
278,2019_375923,Roope Taponen,Taponen,Roope,2019,G,G,U20 SM-liiga,Finland,Europe,FIN,FIN,0,-0.9695916134204646,Early
279,2019_375953,Matias Maccelli,Maccelli,Matias,2019,F,W,USHL,USA,North America,FIN,USA,0,-0.6304432332477086,Late
280,2019_376079,Jasper Patrikainen,Patrikainen,Jasper,2019,G,G,U20 SM-liiga,Finland,Europe,FIN,FIN,0.13559322033898305,-0.7604640105258541,Overage
281,2019_376175,Santeri Airola,Airola,Santeri,2019,D,RHD,U20 SM-liiga,Finland,Europe,FIN,FIN,0.05555555555555555,-1.0314037337084183,Overage
282,2019_376191,Mikko Petman,Petman,Mikko,2019,F,W,U20 SM-liiga,Finland,Europe,FIN,FIN,0.20967741935483872,0.03191355430957755,Early
283,2019_376443,Xavier Simoneau,Simoneau,Xavier,2019,F,C,QMJHL,Quebec/Atlantic Canada,North America,CAN,CAN,0,-2.1207460052516023,Early
284,2019_376625,Jackson Millar,Millar,Jackson,2019,D,RHD,USHL,USA,North America,USA,USA,0,1.435239685843712,Late
285,2019_376987,Karl Henriksson,Henriksson,Karl,2019,F,F,J20 SuperElit,Sweden,Europe,SWE,SWE,0.03333333333333333,-1.2928000208049948,Early
286,2019_379758,Spencer Knight,Knight,Spencer,2019,G,G,USDP,USA,North America,USA,USA,0,0.49430160684180874,Early
287,2019_379956,Gustav Berglund,Berglund,Gustav,2019,D,RHD,J18 Allsvenskan,Sweden,Europe,SWE,SWE,0,0.4485823180228599,Early
288,2019_380281,Ryder Donovan,Donovan,Ryder,2019,F,F,USHS-MN,USA,North America,USA,USA,0,1.1910379325348284,Late
289,2019_381262,Samuel Sjolund,Sjolund,Samuel,2019,D,LHD,J20 SuperElit,Sweden,Europe,SWE,SWE,0,-0.04474636588756616,Early
290,2019_381692,Marshall Warren,Warren,Marshall,2019,D,LHD,USDP,USA,North America,USA,USA,0,-1.0314037337084183,Early
291,2019_384414,Justin Bergeron,Bergeron,Justin,2019,D,LHD,QMJHL,Quebec/Atlantic Canada,North America,CAN,CAN,0,-0.5380750497979923,Overage
292,2019_385539,Lucas Feuk,Feuk,Lucas,2019,F,F,J20 SuperElit,Sweden,Europe,SWE,SWE,0.07936507936507936,0.03191355430957755,Early
293,2019_385676,Kaden Bohlsen,Bohlsen,Kaden,2019,F,C,USHL,USA,North America,USA,USA,0,1.1910379325348284,Early
294,2019_385678,Braden Doyle,Doyle,Braden,2019,D,LHD,USHS-Prep,USA,North America,USA,USA,0,-1.0314037337084183,Early
295,2019_385680,Robert Mastrosimone,Mastrosimone,Robert,2019,F,F,USHL,USA,North America,USA,USA,0,-0.9616216270263517,Early
296,2019_385686,Derek Mullahy,Mullahy,Derek,2019,G,G,USHS-Prep,USA,North America,USA,USA,0,-1.178719216315075,Early
297,2019_386334,Robert Griffin,Griffin,Robert,2019,F,C,NCDC,USA,North America,USA,USA,0,-0.133675642579744,Early
298,2019_386542,Jakub Rychlovsky,Rychlovsky,Jakub,2019,F,W,Czechia2,Czechia,Europe,EUR,EUR,0.6461538461538462,-0.9616216270263517,Early
299,2019_386914,Lukas Parik,Parik,Lukas,2019,G,G,Czechia U19,Czechia,Europe,EUR,EUR,0.18181818181818182,0.9125568126310297,Early
